heap,n,full,last
fibonacci,128,24275,198
fibonacci,128,25303,221
fibonacci,128,24439,210
fibonacci,128,25151,204
fibonacci,128,25273,219
fibonacci,128,25200,217
fibonacci,128,25644,217
fibonacci,128,25362,208
fibonacci,128,24164,213
fibonacci,128,24851,224
fibonacci,128,24447,178
fibonacci,128,24108,196
fibonacci,128,24593,207
fibonacci,128,24034,192
fibonacci,256,22989904,315
fibonacci,256,66775,279
fibonacci,256,65156,341
fibonacci,256,63810,294
fibonacci,256,62560,231
fibonacci,256,63927,233
fibonacci,256,64796,270
fibonacci,256,58696,228
fibonacci,256,50437,216
fibonacci,256,50344,216
fibonacci,256,50579,216
fibonacci,256,50772,219
fibonacci,256,48691,211
fibonacci,256,48558,195
fibonacci,256,54109,196
fibonacci,256,50673,191
fibonacci,256,49267,198
fibonacci,256,51821,228
fibonacci,256,49134,217
fibonacci,256,50792,194
fibonacci,256,49810,216
fibonacci,256,54165,198
fibonacci,256,50612,229
fibonacci,256,48044,211
fibonacci,256,49884,198
fibonacci,256,49388,223
fibonacci,256,50931,216
fibonacci,256,48477,222
fibonacci,256,48508,200
fibonacci,256,56939,205
fibonacci,512,105948,240
fibonacci,512,103806,238
fibonacci,512,97632,218
fibonacci,512,97766,199
fibonacci,512,100561,229
fibonacci,512,97410,213
fibonacci,512,102916,216
fibonacci,512,97408,195
fibonacci,512,104202,352
fibonacci,512,100371,222
fibonacci,512,98853,217
fibonacci,512,108132,201
fibonacci,512,99850,220
fibonacci,512,102517,214
fibonacci,512,100722,216
fibonacci,512,100308,194
fibonacci,512,97133,223
fibonacci,512,98355,212
fibonacci,512,107546,226
fibonacci,512,99662,225
fibonacci,512,99770,231
fibonacci,512,102906,207
fibonacci,512,100558,226
fibonacci,512,97080,211
fibonacci,512,105514,218
fibonacci,512,110145,288
fibonacci,512,106684,224
fibonacci,512,98050,212
fibonacci,512,96159,211
fibonacci,512,97858,189
fibonacci,1024,238847,348
fibonacci,1024,215809,228
fibonacci,1024,207950,225
fibonacci,1024,206240,229
fibonacci,1024,199875,232
fibonacci,1024,202561,217
fibonacci,1024,197062,220
fibonacci,1024,211559,224
fibonacci,1024,196775,191
fibonacci,1024,196749,217
fibonacci,1024,210247,230
fibonacci,1024,220183,249
fibonacci,1024,195033,197
fibonacci,1024,195120,212
fibonacci,1024,215004,298
fibonacci,1024,201059,230
fibonacci,1024,208897,266
fibonacci,1024,197061,214
fibonacci,1024,196006,230
fibonacci,1024,194714,207
fibonacci,1024,200340,215
fibonacci,1024,213909,219
fibonacci,1024,201721,217
fibonacci,1024,210289,222
fibonacci,1024,193074,236
fibonacci,1024,196588,216
fibonacci,1024,197695,210
fibonacci,1024,201707,201
fibonacci,1024,200470,232
fibonacci,1024,197994,226
fibonacci,2048,423904,266
fibonacci,2048,391604,243
fibonacci,2048,406854,214
fibonacci,2048,399141,228
fibonacci,2048,403637,231
fibonacci,2048,418832,227
fibonacci,2048,395845,218
fibonacci,2048,416027,221
fibonacci,2048,415922,303
fibonacci,2048,469197,275
fibonacci,2048,411603,225
fibonacci,2048,393917,220
fibonacci,2048,397479,204
fibonacci,2048,408035,202
fibonacci,2048,407356,224
fibonacci,2048,409696,225
fibonacci,2048,392132,188
fibonacci,2048,393683,220
fibonacci,2048,403603,213
fibonacci,2048,410056,228
fibonacci,2048,470210,261
fibonacci,2048,422913,317
fibonacci,2048,428614,239
fibonacci,2048,393371,198
fibonacci,2048,419259,202
fibonacci,2048,411428,218
fibonacci,2048,400226,220
fibonacci,2048,392032,222
fibonacci,2048,413118,220
fibonacci,2048,392000,215
fibonacci,4096,843914,233
fibonacci,4096,803536,230
fibonacci,4096,788203,238
fibonacci,4096,822187,223
fibonacci,4096,807364,222
fibonacci,4096,789990,217
fibonacci,4096,823077,209
fibonacci,4096,852785,248
fibonacci,4096,872477,242
fibonacci,4096,803824,212
fibonacci,4096,806390,218
fibonacci,4096,790327,195
fibonacci,4096,790885,202
fibonacci,4096,879796,348
fibonacci,4096,844347,276
fibonacci,4096,801392,221
fibonacci,4096,796014,223
fibonacci,4096,820733,206
fibonacci,4096,802815,236
fibonacci,4096,794215,224
fibonacci,4096,786987,232
fibonacci,4096,995705,289
fibonacci,4096,1088837,296
fibonacci,4096,1053209,317
fibonacci,4096,1036004,268
fibonacci,4096,834782,228
fibonacci,4096,806086,213
fibonacci,4096,817188,223
fibonacci,4096,815062,250
fibonacci,4096,960963,252
fibonacci,8192,1752188,253
fibonacci,8192,1641209,239
fibonacci,8192,1679200,223
fibonacci,8192,1672755,221
fibonacci,8192,1613167,225
fibonacci,8192,1985238,248
fibonacci,8192,1710815,225
fibonacci,8192,1632141,221
fibonacci,8192,2079171,245
fibonacci,8192,1742541,239
fibonacci,8192,1635939,239
fibonacci,8192,1620836,255
fibonacci,8192,1672334,249
fibonacci,8192,1603519,235
fibonacci,8192,1631023,227
fibonacci,8192,1628502,219
fibonacci,8192,1620463,246
fibonacci,8192,1672190,238
fibonacci,8192,1727891,283
fibonacci,8192,1699057,245
fibonacci,8192,1589038,219
fibonacci,8192,1579887,220
fibonacci,8192,1986707,244
fibonacci,8192,1644312,225
fibonacci,8192,1687906,225
fibonacci,8192,1858536,243
fibonacci,8192,1659597,226
fibonacci,8192,1660301,204
fibonacci,8192,1707581,221
fibonacci,8192,1645762,247
fibonacci,16384,3337657,347
fibonacci,16384,3272642,246
fibonacci,16384,3439075,246
fibonacci,16384,3439889,251
fibonacci,16384,3621469,240
fibonacci,16384,3439172,239
fibonacci,16384,3723755,244
fibonacci,16384,3507892,327
fibonacci,16384,3363131,222
fibonacci,16384,3709904,238
fibonacci,16384,3568006,257
fibonacci,16384,3382976,218
fibonacci,16384,3231616,224
fibonacci,16384,3346686,237
fibonacci,16384,4115610,241
fibonacci,16384,3364112,221
fibonacci,16384,3240769,225
fibonacci,16384,3510342,229
fibonacci,16384,3566833,238
fibonacci,16384,3346427,228
fibonacci,16384,3440129,240
fibonacci,16384,3585393,232
fibonacci,16384,3223187,237
fibonacci,16384,3388460,247
fibonacci,16384,3337476,210
fibonacci,16384,3637149,255
fibonacci,16384,3299533,233
fibonacci,16384,3411627,223
fibonacci,16384,3477537,253
fibonacci,16384,3307077,258
fibonacci,32768,6628155,254
fibonacci,32768,6626144,254
fibonacci,32768,6542593,237
fibonacci,32768,8023042,294
fibonacci,32768,7122699,226
fibonacci,32768,7153184,234
fibonacci,32768,7321972,243
fibonacci,32768,7218096,264
fibonacci,32768,8042545,238
fibonacci,32768,6739970,238
fibonacci,32768,6658730,244
fibonacci,32768,6830759,244
fibonacci,32768,6837735,235
fibonacci,32768,6793258,280
fibonacci,32768,7128820,215
fibonacci,32768,6755995,245
fibonacci,32768,6820133,229
fibonacci,32768,6942300,242
fibonacci,32768,7206558,339
fibonacci,32768,6945322,255
fibonacci,32768,6786879,224
fibonacci,32768,7058548,201
fibonacci,32768,6573133,239
fibonacci,32768,6979893,259
fibonacci,32768,6541588,205
fibonacci,32768,6943214,224
fibonacci,32768,6545883,232
fibonacci,32768,6649594,237
fibonacci,32768,6600816,238
fibonacci,32768,6689074,225
fibonacci,65536,12879856,247
fibonacci,65536,13367999,248
fibonacci,65536,13424553,244
fibonacci,65536,13545914,251
fibonacci,65536,14130638,238
fibonacci,65536,14125338,243
fibonacci,65536,14172927,238
fibonacci,65536,13929470,234
fibonacci,65536,13859693,227
fibonacci,65536,14307766,252
