heap,n,full,last
fibonacci,8,1682,233
fibonacci,8,1640,222
fibonacci,8,1648,223
fibonacci,8,1597,230
fibonacci,8,1390,177
fibonacci,8,1464,203
fibonacci,8,1636,211
fibonacci,8,1455,197
fibonacci,8,1531,201
fibonacci,8,1501,226
fibonacci,8,1469,211
fibonacci,8,1465,203
fibonacci,8,1552,192
fibonacci,8,1577,210
fibonacci,8,1497,199
fibonacci,16,3556,249
fibonacci,16,3172,195
fibonacci,16,2972,239
fibonacci,16,2962,195
fibonacci,16,3313,202
fibonacci,16,3278,218
fibonacci,16,3282,212
fibonacci,16,3244,200
fibonacci,16,2925,220
fibonacci,16,3207,217
fibonacci,16,3096,201
fibonacci,16,3039,196
fibonacci,16,2945,179
fibonacci,16,3305,213
fibonacci,16,3176,240
fibonacci,16,3358,220
fibonacci,16,3196,223
fibonacci,16,2928,214
fibonacci,16,2911,196
fibonacci,16,2988,203
fibonacci,16,2844,193
fibonacci,16,2975,198
fibonacci,16,3208,217
fibonacci,16,3333,218
fibonacci,16,2981,203
fibonacci,16,3194,210
fibonacci,16,3028,213
fibonacci,16,3294,201
fibonacci,16,3054,203
fibonacci,16,3029,197
fibonacci,32,6356,235
fibonacci,32,6210,195
fibonacci,32,6551,200
fibonacci,32,6062,201
fibonacci,32,6119,216
fibonacci,32,6133,195
fibonacci,32,6074,200
fibonacci,32,5942,196
fibonacci,32,5956,195
fibonacci,32,6203,234
fibonacci,32,6280,215
fibonacci,32,5925,210
fibonacci,32,6608,224
fibonacci,32,6735,222
fibonacci,32,6641,220
fibonacci,32,6272,205
fibonacci,32,6416,209
fibonacci,32,6328,197
fibonacci,32,6092,198
fibonacci,32,6360,200
fibonacci,32,6317,198
fibonacci,32,6130,212
fibonacci,32,6103,238
fibonacci,32,6172,198
fibonacci,32,6456,220
fibonacci,32,6266,203
fibonacci,32,5901,177
fibonacci,32,6549,242
fibonacci,32,6188,202
fibonacci,32,6468,217
fibonacci,64,17185,208
fibonacci,64,13146,210
fibonacci,64,12940,226
fibonacci,64,13067,223
fibonacci,64,12173,199
fibonacci,64,12428,197
fibonacci,64,12752,225
fibonacci,64,12854,217
fibonacci,64,12653,212
fibonacci,64,12111,206
fibonacci,64,12087,193
fibonacci,64,12384,217
fibonacci,64,12821,236
fibonacci,64,12180,196
fibonacci,64,12109,198
fibonacci,64,12714,225
fibonacci,64,12791,218
fibonacci,64,12565,203
fibonacci,64,12721,209
fibonacci,64,12050,227
fibonacci,64,12463,197
fibonacci,64,12509,198
fibonacci,64,12855,219
fibonacci,64,12723,215
fibonacci,64,12835,216
fibonacci,64,12402,205
fibonacci,64,12492,194
fibonacci,64,12841,221
fibonacci,64,12309,213
fibonacci,64,12538,216
fibonacci,128,28189,221
fibonacci,128,25734,219
fibonacci,128,24888,195
fibonacci,128,24214,201
fibonacci,128,25242,205
fibonacci,128,24831,218
fibonacci,128,24110,197
fibonacci,128,24819,219
fibonacci,128,24706,213
fibonacci,128,24427,197
fibonacci,128,25808,218
fibonacci,128,25673,226
fibonacci,128,24204,197
fibonacci,128,24335,215
fibonacci,128,24961,219
fibonacci,128,24527,191
fibonacci,128,25300,218
fibonacci,128,25367,217
fibonacci,128,24561,213
fibonacci,128,25437,196
fibonacci,128,25097,211
fibonacci,128,24787,194
fibonacci,128,24518,199
fibonacci,128,25999,203
fibonacci,128,25191,227
fibonacci,128,25514,215
fibonacci,128,24837,220
fibonacci,128,24164,210
fibonacci,128,25724,219
fibonacci,128,25352,220
fibonacci,256,57834,248
fibonacci,256,55709,231
fibonacci,256,50405,225
fibonacci,256,55676,230
fibonacci,256,49077,203
fibonacci,256,49135,197
fibonacci,256,48361,213
fibonacci,256,49177,218
fibonacci,256,50882,217
fibonacci,256,49469,216
fibonacci,256,49873,226
fibonacci,256,50855,213
fibonacci,256,49740,173
fibonacci,256,51244,217
fibonacci,256,50563,220
fibonacci,256,50142,197
fibonacci,256,50456,212
fibonacci,256,49238,192
fibonacci,256,49306,214
fibonacci,256,51010,237
fibonacci,256,50248,193
fibonacci,256,49887,227
fibonacci,256,51274,195
fibonacci,256,50409,198
fibonacci,256,49885,213
fibonacci,256,50429,197
fibonacci,256,49750,215
fibonacci,256,51269,217
fibonacci,256,48142,209
fibonacci,256,51941,217
fibonacci,512,106130,227
fibonacci,512,97081,218
fibonacci,512,100514,217
fibonacci,512,101628,212
fibonacci,512,101717,217
fibonacci,512,106264,219
fibonacci,512,102750,217
fibonacci,512,99386,224
fibonacci,512,98479,218
fibonacci,512,100438,239
fibonacci,512,102339,215
